IMAGE_DIC,NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),에너지(kj),수분(g),수분(%),단백질(g),지방(g),지질-가식부 100g당,탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),갈락토오스(g),당알콜(g),에리스리톨(g),총 식이섬유(g),총 식이섬유(mg),총 식이섬유(%),수용성 식이섬유(g),불용성 식이섬유(g),셀룰로오스(%),리그닌(%),칼슘(㎎),철(㎎),철(㎍),마그네슘(㎎),인(㎎),칼륨(g),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),구리(㎍),망간(㎎),망간(㎍),셀레늄(㎍),몰리브덴(㎍),요오드(㎍),염소(㎎),비타민 A(㎍),비타민 A(㎍ RE),레티놀(㎍),베타카로틴(㎍),레티놀A효능,비타민 D(D2+D3)(㎍),비타민 D2(㎍),비타민 D3(㎍),비타민 D1(㎍),비타민 E(㎎),비타민 E(㎎ α-TE),알파 토코페롤(㎎),베타 토코페롤(㎎),감마 토코페롤(㎎),델타 토코페롤(㎎),알파 토코트리에놀(㎎),베타 토코트리에놀(㎎),감마 토코트리에놀(㎎),델타 토코트리에놀(㎎),토코페롤(㎎),토코트리에놀(㎎),비타민 K(㎎),비타민 K(㎍),비타민 K1(㎍),비타민 K2(㎍),비타민 B1(㎎),비타민 B1(㎍),비타민 B2(㎎),비타민 B2(㎍),나이아신(㎎),나이아신(㎎ NE),나이아신(NE)(㎎),나이아신(NE)(㎎ NE),니코틴산 (㎎),니코틴아마이드(㎎),판토텐산(㎎),판토텐산(㎍),비타민 B6(㎎),비타민 B6(㎍),피리독신(㎎),비오틴(㎍),엽산(DFE)(㎍),엽산 - 천연 엽산(㎍),엽산 - 합성 엽산(㎍),비타민 B12(㎎),비타민 B12(㎍),비타민 C(g),비타민 C(㎎),콜린(g),콜린(㎎),총 아미노산(g),총 아미노산(㎎),필수 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),트립토판(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),비필수 아미노산(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),타우린(㎎),글리신 베타인 (㎎),호마린(㎎),트리고넬린(㎎),리보핵산(㎎),데옥시리보핵산(㎎),콜레스테롤(g),콜레스테롤(㎎),총 지방산(g),총 필수 지방산(g),총 포화 지방산(g),총 포화 지방산(%),부티르산(4:0)(g),부티르산(4:0)(㎎),카프로산(6:0)(g),카프로산(6:0)(㎎),카프릴산(8:0)(g),카프릴산(8:0)(㎎),카프르산(10:0)(g),카프르산(10:0)(㎎),라우르산(12:0)(g),라우르산(12:0)(㎎),라우르산(12:0)(%),트라이데칸산(13:0)(㎎),미리스트산(14:0)(g),미리스트산(14:0)(㎎),미리스트산(14:0)(%),펜타데칸산(15:0)(㎎),팔미트산(16:0)(g),팔미트산(16:0)(㎎),팔미트산(16:0)(%),헵타데칸산(17:0)(㎎),스테아르산(18:0)(g),스테아르산(18:0)(㎎),스테아르산(18:0)(%),아라키드산(20:0)(g),아라키드산(20:0)(㎎),아라키드산(20:0)(%),헨에이코산산(21:0)(㎎),베헨산(22:0)(㎎),트리코산산(23:0)(㎎),리그노세르산(24:0)(㎎),총 단일 불포화지방산(g),총 단일 불포화지방산(%),미리스톨레산(14:1)(g),미리스톨레산(14:1)(㎎),미리스톨레산(14:1)(%),팔미톨레산(16:1)(g),팔미톨레산(16:1)(㎎),팔미톨레산(16:1)(%),헵타데센산(17:1)(㎎),올레산(18:1(n-9))(g),올레산(18:1(n-9))(㎎),올레산(18:1(n-9))(%),박센산(18:1(n-7))(g),박센산(18:1(n-7))(㎎),가돌레산(20:1)(g),가돌레산(20:1)(㎎),가돌레산(20:1)(%),에루크산(22:1)(㎎),에루크산(22:1)(%),네르본산(24:1)(㎎),총 다중 불포화지방산(g),총 다중 불포화지방산(%),리놀레산(18:2(n-6)c)(g),리놀레산(18:2(n-6)c)(㎎),리놀레산(18:2(n-6)c)(%),알파 리놀렌산(18:3(n-3))(g),알파 리놀렌산(18:3(n-3))(㎎),리놀렌산(18:3(n-3)(%),감마 리놀렌산(18:3(n-6))(g),감마 리놀렌산(18:3(n-6))(㎎),스테아리돈산(18:4)(%),에이코사디에노산(20:2(n-6))(g),에이코사디에노산(20:2(n-6))(㎎),에이코사트리에노산(20:3(n-3))(㎎),에이코사트리에노산(20:3(n-6))(g),에이코사트리에노산(20:3(n-6))(㎎),아라키돈산(20:4(n-6))(g),아라키돈산(20:4(n-6))(㎎),아라키돈산(20:4(n-6))(%),에이코사테트라에노산(20:4(n-3))(㎎),에이코사펜타에노산(20:5(n-3))(g),에이코사펜타에노산(20:5(n-3))(㎎),에이코사펜타에노산(20:5(n-3))(%),도코사디에노산(22:2)(㎎),도코사펜타에노산(22:5(n-3))(g),도코사펜타에노산(22:5(n-3))(㎎),도코사펜타에노산(22:5(n-3))(%),도코사헥사에노산(22:6(n-3))(g),도코사헥사에노산(22:6(n-3))(㎎),도코사헥사에노산(22:6(n-3))(%),EPA와 DHA의 합(㎎),오메가 3 지방산(g),오메가 6 지방산(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 올레산(18:1(n-9)t)(㎎),트랜스 리놀레산 (18:2t)(g),트랜스 리놀레산 (18:2t)(㎎),트랜스 리놀렌산(18:3t)(g),트랜스 리놀렌산(18:3t)(㎎),트랜스 리놀렌산(18:3t)(%),냉산가용성물질(㎎),총 불포화지방산(g),식염상당량(g),회분(g),폐기율(%),가식부(%),산가용성물질(%),카페인(㎎),성분표출처,발행기관
1011001,79,R000079-ZZ-AVG,R000079,농축산물,품목대표,쌀밥,2019,전국(대표),평균,농축산물,곡류 및 그 제품,100,g,-,-,152,-,63.6,-,3,0.1,-,33.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.4,-,-,23,-,19,3,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,0.01,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.1,0,-,-,-,농진청('00),국립농업과학원
1012001,51686,D000238-ZZ-AVG,D000238,음식,품목대표,잡곡밥,2019,전국(대표),평균,밥류,쌀밥.잡곡밥류,250,g,0,0,388.8163978,0,153.2470686,0,11.95181426,1.302652444,0,82.3213172,0.173632006,0,0,0.173632006,0,0,0,0,0,6.296087687,0,0,0,0,0,0,27.56965504,0,1.673974942,61.71,183.9157857,0,283.065017,113.8950611,2,0.24,0,1.07,0,4,0,0,0,0,0,0,8.763286449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0.36,0,0,0,0,0.118304494,0,0.037062094,0,0.415497771,0,0,0,0,0,0,0,0,0,0,0,39.12,0,0,0,0,0,0,0,0,0,0,0,438.83,1074.22,512.37,187.73,618.76,427.36,0,544.24,282.76,709.69,0,305.32,204.14,703.82,1092.79,2224.59,95.08,609.2,636.1,0,0,0,0,0,0,0,0,0,0,0.423401379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177147486,0,0,0,0,식약처('14) 명절,식품의약품안전처
1012002,58521,D018186-ZZ-AVG,D018186,음식,품목대표,콩밥,2020,전국(대표),평균,밥류,쌀밥.잡곡밥류,200,g,-,-,330.61,-,119.44,-,9.06,2.23,-,68.59,0,0,0,0,0,0,-,-,-,2.25,-,-,-,-,-,-,26.05,0.76,-,28.27,103.01,-,171.12,6.87,4.54,0.25,-,0.97,-,2.1,-,-,-,-,-,0,19.73,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,2.41,0.33,-,-,-,-,2.54,-,0.03,-,0.02,-,-,-,-,-,-,-,-,-,-,-,17.46,-,-,-,0,-,0,-,-,-,7837.3,-,370.56,684.78,391.91,43.51,426.12,303.4,-,486.95,153.36,659.01,-,149.38,92.99,405.26,884.68,1599.68,359.58,411.04,415.1,-,-,-,-,-,-,-,0,-,-,0.27,-,0,-,0,-,0,-,0,-,0,-,-,-,0,-,-,-,0.24,-,-,-,0.03,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0.22,-,-,0,-,0,-,-,-,-,-,-,-,0.52,-,-,0.05,-,-,0,-,-,0,-,-,0,-,0,-,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,0,0,-,0,-,0,-,-,-,-,-,0.69,-,-,-,-,식약처 영양실태조사('20),식품의약품안전처
1012003,58536,D018201-ZZ-AVG,D018201,음식,품목대표,보리밥,2020,전국(대표),평균,밥류,쌀밥.잡곡밥류,200,g,-,-,321.63,-,119.72,-,5.8,0.48,-,73.54,5.14,0,0,0,0,5.14,-,-,-,4.87,-,-,-,-,-,-,13.8,0.39,-,14.35,67.81,-,56.29,7.85,1.52,0.27,-,0.83,-,1.52,-,-,-,-,-,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0.57,0,-,-,-,-,0.07,-,0.01,-,0.09,-,-,-,-,-,-,-,-,-,-,-,9.96,-,-,-,0,-,0.04,-,-,-,4787.95,-,153.09,424.24,166.08,107.93,285.92,163.04,-,216.05,102.3,373.09,-,155.08,80.14,276.72,434.81,1011.91,231.94,317.31,288.31,-,-,-,-,-,-,-,0,-,-,0.2,-,0,-,0,-,0,-,0,-,0,-,-,-,0.01,-,-,-,0.17,-,-,-,0.01,-,-,0,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,0.1,-,-,0,-,0,-,-,-,-,-,-,-,0.26,-,-,0.01,-,-,0,-,-,0,-,-,0,-,0,-,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,0,0,-,0,-,0,-,-,-,-,-,0.47,-,-,-,-,식약처 영양실태조사('20),식품의약품안전처
1012004,58549,D018214-ZZ-AVG,D018214,음식,품목대표,돌솥밥,2020,전국(대표),평균,밥류,기타 밥류,350,g,-,-,643.16,-,201.02,-,12.02,10.03,-,126.22,2.22,1.32,0.48,0.42,0,0,-,-,-,7.46,-,-,-,-,-,-,30.35,1.68,-,24.1,111.16,-,126.52,21.94,4,0.43,-,1.03,-,7.26,-,-,-,-,-,0,433.2,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,5.2,0.83,-,-,-,-,0.11,-,0.11,-,0.76,-,-,-,-,-,-,-,-,-,-,-,30.35,-,-,-,0,-,0,-,-,-,9851.29,-,401.09,931.52,386.19,206.29,548.1,363.84,-,524.99,135.44,859.84,-,303.22,103.45,596.07,1040.53,1953.12,479.73,472.89,544.99,-,-,-,-,-,-,-,0,-,-,2.12,-,0,-,0.01,-,0.01,-,0.03,-,0.19,-,-,-,0.17,-,-,-,1.39,-,-,-,0.31,-,-,0.02,-,-,-,-,-,-,-,-,0.01,-,-,0.02,-,-,-,1.25,-,-,0.08,-,0.01,-,-,-,-,-,-,-,2.16,-,-,0.25,-,-,0.01,-,-,0,-,-,0,-,0,-,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,0.05,0.03,-,0.02,-,0,-,-,-,-,-,0.72,-,-,-,-,식약처 영양실태조사('20),식품의약품안전처
1012005,,,,,,현미밥(이미지폴더O목록X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012006,,,,,,흑미밥(이미지폴더O목록X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013001,,,,,,감자밥(적절한음식X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013002,51663,D000207-103-AVG,D000207,음식,품목대표,곤드레밥,2019,정선,평균,밥류,기타 밥류,350,g,-,-,521.83,-,230.4,-,10.3,9.5,-,98.9,0,0,0,0,0,0,-,-,-,10.1,-,-,-,-,-,-,147.39,-,1.44,27.13,126.03,-,106.96,90.62,1.78,0.3,-,1.09,-,10.11,-,-,-,-,-,0,4150.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.72,0.46,-,-,-,-,0,-,0.1,-,0,-,-,-,-,-,-,-,-,-,-,-,32.86,-,-,-,0,-,0,-,-,-,-,-,348.2983368,791.5200839,439.211451,177.5139205,521.6293509,381.192558,-,489.3580862,204.3981794,705.3867825,-,344.0860126,129.0422001,516.8706196,862.0532604,1468.177731,458.2752637,405.4088068,479.2085076,-,-,-,-,-,-,-,0,-,-,0.9,-,0,-,0,-,0,-,0,-,0,-,-,-,0.013679783,-,-,-,0.679732399,-,-,-,0.159543546,-,-,0.014408948,-,-,-,-,-,-,-,-,0,-,-,0.003401112,-,-,-,1.253244043,-,-,0.047366562,-,0.015345062,-,-,-,-,-,-,-,1.879251458,-,-,1.087445743,-,-,0.0143017,-,-,0,-,-,0,-,0,-,-,-,0,-,-,-,0,-,-,0,-,-,-,-,-,0,0,-,0.015923595,-,0,-,-,-,-,-,1,-,-,-,-,식약처('16) 제4권,식품의약품안전처
1014001,58527,D018192-ZZ-AVG,D018192,음식,품목대표,김치볶음밥,2020,전국(대표),평균,밥류,볶음밥류,330,g,-,-,550.64,-,224.86,-,17.56,30.3,-,51.93,45.85,0.79,23.61,21.45,0,0,-,-,-,9.35,-,-,-,-,-,-,98.06,2.3,-,51.2,238.4,-,553.12,1549.8,1.89,0.21,-,0.8,-,48.87,-,-,-,-,-,42.79,464.88,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,10.54,0.15,-,-,-,-,0.89,-,0.32,-,0.05,-,-,-,-,-,-,-,-,-,-,-,84.63,-,-,-,0.93,-,13.76,-,-,-,14575.5,-,652.56,1196.6,839.39,325.23,753.91,652.97,-,936.27,280.07,1033.9,-,505.84,247.42,873.51,1459.44,2731.56,537.03,592.29,957.51,-,-,-,-,-,-,-,232.34,-,-,4.73,-,0,-,0,-,0,-,0,-,0,-,-,-,0.04,-,-,-,3.35,-,-,-,1.27,-,-,0.08,-,-,-,-,-,-,-,-,0,-,-,0.18,-,-,-,7.23,-,-,0.35,-,0.05,-,-,-,-,-,-,-,9.63,-,-,0.77,-,-,0.04,-,-,0.02,-,-,0.01,-,0.14,-,-,-,0,-,-,-,0.01,-,-,0.04,-,-,-,-,-,0.14,0.03,-,0.09,-,0.02,-,-,-,-,-,5.35,-,-,-,-,식약처 영양실태조사('20),식품의약품안전처
